# Eclipse JDT formatter option inventory — the complete `org.eclipse.jdt.core.formatter.*` id set.
#
# Extracted from org.eclipse.jdt.core @ master:
#   formatter/org/eclipse/jdt/core/formatter/DefaultCodeFormatterConstants.java   (the ids)
#   formatter/org/eclipse/jdt/internal/formatter/DefaultCodeFormatterOptions.java (value kinds)
#
# Columns: id <TAB> value-kind <TAB> status
#   value-kind: insert | bool | int | alignment | brace | one-line | paren | tab-char |
#               text-block-indent | string
#   status:     live   = written back by DefaultCodeFormatterOptions.getMap()
#               legacy = deprecated id still honored on read, fanned out into finer settings
#
# `import::eclipse`'s coverage test asserts every row here is captured by the model.
insert_space_after_comma_in_multiple_field_declarations	insert	live
insert_space_after_comma_in_multiple_local_declarations	insert	live
insert_space_after_comma_in_parameterized_type_reference	insert	live
insert_space_after_comma_in_permitted_types	insert	live
insert_space_after_comma_in_record_components	insert	live
insert_space_after_comma_in_superinterfaces	insert	live
insert_space_after_comma_in_switch_case_expressions	insert	live
insert_space_after_comma_in_type_arguments	insert	live
insert_space_after_comma_in_type_parameters	insert	live
insert_space_after_ellipsis	insert	live
insert_space_after_lambda_arrow	insert	live
insert_space_after_logical_operator	insert	live
insert_space_after_multiplicative_operator	insert	live
insert_space_after_not_operator	insert	live
insert_space_after_opening_angle_bracket_in_parameterized_type_reference	insert	live
insert_space_after_opening_angle_bracket_in_type_arguments	insert	live
insert_space_after_opening_angle_bracket_in_type_parameters	insert	live
insert_space_after_opening_brace_in_array_initializer	insert	live
insert_space_after_opening_bracket_in_array_allocation_expression	insert	live
insert_space_after_opening_bracket_in_array_reference	insert	live
insert_space_after_opening_paren_in_annotation	insert	live
insert_space_after_opening_paren_in_cast	insert	live
insert_space_after_opening_paren_in_catch	insert	live
insert_space_after_opening_paren_in_constructor_declaration	insert	live
insert_space_after_opening_paren_in_enum_constant	insert	live
insert_space_after_opening_paren_in_for	insert	live
insert_space_after_opening_paren_in_if	insert	live
insert_space_after_opening_paren_in_method_declaration	insert	live
insert_space_after_opening_paren_in_method_invocation	insert	live
insert_space_after_opening_paren_in_parenthesized_expression	insert	live
insert_space_after_opening_paren_in_record_declaration	insert	live
insert_space_after_opening_paren_in_switch	insert	live
insert_space_after_opening_paren_in_synchronized	insert	live
insert_space_after_opening_paren_in_try	insert	live
insert_space_after_opening_paren_in_while	insert	live
insert_space_after_postfix_operator	insert	live
insert_space_after_prefix_operator	insert	live
insert_space_after_question_in_conditional	insert	live
insert_space_after_question_in_wildcard	insert	live
insert_space_after_relational_operator	insert	live
insert_space_after_semicolon_in_for	insert	live
insert_space_after_semicolon_in_try_resources	insert	live
insert_space_after_shift_operator	insert	live
insert_space_after_string_concatenation	insert	live
insert_space_after_unary_operator	insert	live
insert_space_before_additive_operator	insert	live
insert_space_before_and_in_type_parameter	insert	live
insert_space_before_arrow_in_switch_case	insert	live
insert_space_before_arrow_in_switch_default	insert	live
insert_space_before_assignment_operator	insert	live
insert_space_before_at_in_annotation_type_declaration	insert	live
insert_space_before_binary_operator	insert	legacy
insert_space_before_bitwise_operator	insert	live
insert_space_before_closing_angle_bracket_in_parameterized_type_reference	insert	live
insert_space_before_closing_angle_bracket_in_type_arguments	insert	live
insert_space_before_closing_angle_bracket_in_type_parameters	insert	live
insert_space_before_closing_brace_in_array_initializer	insert	live
insert_space_before_closing_bracket_in_array_allocation_expression	insert	live
insert_space_before_closing_bracket_in_array_reference	insert	live
insert_space_before_closing_paren_in_annotation	insert	live
insert_space_before_closing_paren_in_cast	insert	live
insert_space_before_closing_paren_in_catch	insert	live
insert_space_before_closing_paren_in_constructor_declaration	insert	live
insert_space_before_closing_paren_in_enum_constant	insert	live
insert_space_before_closing_paren_in_for	insert	live
insert_space_before_closing_paren_in_if	insert	live
insert_space_before_closing_paren_in_method_declaration	insert	live
insert_space_before_closing_paren_in_method_invocation	insert	live
insert_space_before_closing_paren_in_parenthesized_expression	insert	live
insert_space_before_closing_paren_in_record_declaration	insert	live
insert_space_before_closing_paren_in_switch	insert	live
insert_space_before_closing_paren_in_synchronized	insert	live
insert_space_before_closing_paren_in_try	insert	live
insert_space_before_closing_paren_in_while	insert	live
insert_space_before_colon_in_assert	insert	live
insert_space_before_colon_in_case	insert	live
insert_space_before_colon_in_conditional	insert	live
insert_space_before_colon_in_default	insert	live
insert_space_before_colon_in_for	insert	live
insert_space_before_colon_in_labeled_statement	insert	live
insert_space_before_comma_in_allocation_expression	insert	live
insert_space_before_comma_in_annotation	insert	live
insert_space_before_comma_in_array_initializer	insert	live
insert_space_before_comma_in_constructor_declaration_parameters	insert	live
insert_space_before_comma_in_constructor_declaration_throws	insert	live
insert_space_before_comma_in_enum_constant_arguments	insert	live
insert_space_before_comma_in_enum_declarations	insert	live
